,english,finnish
1604,I found the book by chance.,Minä löysin sen kirjan sattumalta.
1605,Philosophy is often regarded as difficult.,Filosofiaa pidetään usein vaikeana.
1606,Tom's French is improving.,Tomin ranskan osaaminen kohenee.
1607,It's worth the wait.,Se on odottamisen arvoinen asia.
1608,Stop torturing yourself.,Lopeta itsesi kiduttaminen.
1609,The girls arranged their party.,Tytöt järjestivät heidän juhlansa.
1610,The surgical removal of an ovary or ovaries is called an oophorectomy.,Munasarjan tai munasarjojen kirurgista poistoa sanotaan ooforektomiaksi.
1611,I still can't help but like Tom.,"En voi mitään sille, että pidän vieläkin Tommista."
1612,I wish I hadn't told Tom about what happened.,Voi kunpa en olisi kertonut Tomille siitä mitä tapahtui.
1613,Why don't you consult a lawyer?,Miksi ette kysy asianajajalta?
1614,Don't lie!,Älä syötä minulle pajunköyttä.
1615,Are you sure you don't want to consider another option?,"Oletko varma, ettet halua harkita muuta vaihtoehtoa?"
1616,Eat something.,Syökää jotain.
1617,This room has three windows.,Tässä huoneessa on kolme ikkunaa.
1618,You drive too fast.,Ajat liian kovaa.
1619,Do we have any choice?,Onko meillä valinnanvaraa?
1620,We should treat others with sincerity.,Meidän pitäisi kohdella muita reilusti.
1621,Tom kicked the ball.,Tom potkaisi palloa.
1622,Do you live in Portugal or Brazil?,Asutteko Portugalissa vai Brasiliassa?
1623,We've got a real problem.,Meillä on todellinen ongelma.
1624,He learned how to swim.,Hän oppi uimaan.
1625,"Tom is pretty weird, isn't he?","Tomi on aika outo, eikö olekin?"
1626,You need to find yourself a steady job.,Sinun pitää hankkia itsellesi vakaa työ.
1627,I woke up at seven o'clock.,Heräsin kello seitsemän.
1628,There is a full stop missing.,Piste puuttuu.
1629,I hope Tom likes the cake I baked for him.,"Toivon, että Tomi pitää kakusta, jonka leivoin hänelle."
1630,This is about all I can put up with.,"Tässä alkaa olla suunnittelleen kaikki, minkä pystyn sietämään."
1631,What book did you buy?,Ostitko minkä kirjan?
1632,I'm not backing out.,En kannata.
1633,What?,Mikä?
1634,Tom rewrote it.,Tom kirjoitti sen uudelleen.
1635,My house is on the skirts of the town.,Taloni sijaitsee kylän laitamilla.
1636,I often watch night games on TV.,Katson usein yöotteluja TV:stä.
1637,Tatoeba has reached eight hundred thousand sentences!,Tatoeba on saavuttanut kahdeksansadantuhannen lauseen rajapyykin!
1638,It's a matter of cost.,Se on kustannuskysymys.
1639,May I introduce myself?,Saanko esitellä itseni?
1640,Retire.,Peräänny.
1641,"There are many stereotypes about Finnish people, but stereotypes are often exaggerations or generalizations.","Suomalaisista on monta stereotypiaa, mutta stereotyypit ovat usein liioitteluja tai yleistyksiä"
1642,Tom has ripped abs.,Tomilla on tosi treenatut vatsalihakset.
1643,We sat at the back of the hall.,Istuimme salin takaosassa.
1644,Mary has a lean body.,Marilla on hoikka vartalo.
1645,I need help.,Tarvitsen apua.
1646,Who am I speaking to?,Kenelle minä puhun?
1647,You should have worked harder.,Sinun olisi pitänyt työskennellä ahkerammin.
1648,Tom went bonkers.,Tomi meni sekaisin.
1649,"Is this a joke? ""Of course it's a joke!""",”Onko tämä joku vitsi?” ”Tietysti se on vitsi!”
1650,Tom knows many famous people.,Tomi tuntee monia julkkiksia.
1651,Her office is located in the center of the town.,Hänen toimistonsa sijaitsee keskustassa.
1652,He never fails to make some comment about the way she's dressed.,Mies muistaa aina jotenkin kommentoida naisen vaatetusta.
1653,I don't know Tom's last name.,En tiedä Tomin sukunimeä.
1654,I just organized my desk.,Järjestin juuri kirjoituspöytäni.
1655,The princess was eaten by the shark.,Prinsessa päätyi hain kitaan ja menehtyi sinne.
1656,She appears to have many friends.,Hänellä näyttää olevan monia ystäviä.
1657,She likes tigers.,Hän pitää tiikereistä.
1658,The room was light enough for her to read the letter.,"Huone oli niin valoisa, että hän pystyi lukemaan sen kirjeen."
1659,Don't jump!,Älä hyppää!
1660,I should have followed Tom's advice.,Minun olisi pitänyt toimia Tomin neuvon mukaan.
1661,Please do not feed the trolls.,Ethän ruoki röllejä.
1662,We surrendered.,Antauduimme.
1663,It wouldn't be bad if you come as well.,"Ei olisi huonompi juttu, jos sinäkin tulisit."
1664,You were late for work.,Olit myöhässä töistä.
1665,"Those who know nothing but the countryside have no sense of countryside, and those who have not set foot outside the city do not know what a city really is.","Ne jotka eivät tunne kuin maaseudun eivät ymmärrä maaseutua ja ne, jotka eivät koskaan ole lähteneet kaupungista eivät ymmärrä, mitä kaupunki todella on."
1666,Eat me!,Nuole mun pillua!
1667,Moderation in all things.,Kohtuu kaikessa.
1668,We can't get along without him.,Me emme tule toimeen ilman häntä.
1669,Mary is a single mom.,Mari on yksinhuoltaja.
1670,Do you have work experience?,Onko teillä työkokemusta?
1671,I tried to convince Tom.,Yritin saada Tomin vakuuttuneeksi siitä.
1672,I hope Tom doesn't get the wrong idea.,Toivon ettei Tom sää väärää mielikuvaa.
1673,You should throw these out.,Sinun pitäisi heittää nämä pois.
1674,Clean the mirror.,Pyyhi peili puhtaaksi.
1675,Does iron react with sodium?,Reagoiko rauta natriumin kanssa?
1676,"Once upon a time, there was a pretty little house way out in the country.",Olipa kerran pieni sievä talo kaukana maaseudulla.
1677,This costs too much.,Tämä on liian kallis.
1678,I'm in love with a wonderful girl.,Olen rakastunut ihanaan tyttöön.
1679,This could take weeks.,Tämä voisi kestää viikkoja.
1680,I don't think that it's strange at all.,Minun mielestäni se ei ole ollenkaan outoa.
1681,Tom likes swimming.,Tom pitää uimisesta.
1682,You got cheated.,Sua petettiin.
1683,Let me have it.,Anna se minulle.
1684,The silkworm is spinning a thread.,Silkkitoukka kehrää lankaa.
1685,I suppose I'm going to have to teach you a lesson.,Luulen että minun täytyy antaa sinulle oppitunti.
1686,I'd like to book a double room.,Haluaisin varata kahdenhengen huoneen.
1687,He returned from abroad yesterday.,Hän palasi eilen kotiin ulkomailta.
1688,I can't sing that high.,En osaa laulaa niin korkealta.
1689,You're never satisfied!,Et ole ikinä tyytyväinen!
1690,You can't do that anymore.,Sinä et enää voi tehdä noin.
1691,"He is a man of great knowledge, that is to say, a walking dictionary.","Hänellä on valtavat tiedot, toisin sanoen hän on kävelevä sanakirja."
1692,Why do you not ask your teacher for advice?,Mikset kysy sinun opettajaltasi neuvoa?
1693,How high can you jump?,Kuinka korkealle te pystytte hyppäämään?
1694,"You're drunk, Tom. Get in the taxi. We're going home.","Sinä olet juovuksissa, Tomi. Mene taksiin. Lähdemme kotiin."
1695,"The world famous Hungarian painter Mihály Munkácsy's Christ Trilogy includes the paintings entitled ""Christ before Pilate"", ""Golgotha"" and ""Ecce Homo"".","Kuuluisan unkarilaisen taiteilija Mihály Munkácsyn Kristus-trilogiaan kuuluu teokset ""Jeesus Pilatuksen edessä"", ""Golgata"" ja ""Ecce Homo."""
1696,You must show your passport.,Teidän on näytettävä passinne.
1697,I can't imagine life without him.,En voi kuvitella elämää ilman häntä.
1698,Plastic boxes last longer.,Muovilaatikot kestävät pitempään.
1699,I'm hungry.,Minulla on nälkä.
1700,Tom never forgave Mary for what she did.,"Tom ei ikinä antanut Marille anteeksi sitä, mitä hän teki."
1701,It's just a placebo.,Se on vain plaseboa.
1702,Be careful not to drink too much.,Varo ettet juo liikaa.
1703,Tom opened the cage and let the monkey out.,Tomi avasi häkin ja päästi apinan ulos.
1704,Everything was good.,Kaikki oli hyvää.
1705,Help yourself to anything you like.,Ottakaa mitä tahansa mielenne tekee.
1706,Numbers speak clearly.,Numerot puhuvat puolestaan.
1707,He tripped him up.,Hän kamppasi hänet.
1708,What are you doing?,Mitäs puuhaat?
1709,Why do you enjoy doing that?,Miksi nautit sen tekemisestä?
1710,You stay put.,Sinä pysyt paikallasi.
1711,I'm not mad.,Minä en ole hullu.
1712,Tom stole money from Mary's purse.,Tom varasti rahaa Marin kukkarosta.
1713,I am looking forward to Christmas.,Odotan joulua innolla.
1714,I love men with beards.,Rakastan parrakkaita miehiä.
1715,The wooden chair is expensive.,Se puutuoli on kallis.
1716,Are you single?,Ook sä sinkku?
1717,Both Tom and Mary were disappointed.,Sekä Tom että Mari olivat pettyneitä.
1718,Many thanks.,Kiitos todella paljon!
1719,Tom saw the file.,Tom näki sen tiedoston.
1720,Tom wasn't sleepy.,Tomia ei nukuttanut.
1721,Tom peeked inside the box.,Tom kurkisti laatikkoon.
1722,Do you follow me?,Ymmärrätkö mitä tarkoitan?
1723,You are thin.,Olet hoikka.
1724,He seemed to be in a good mood.,Hän tuntui olevan hyvällä tuulella.
1725,Everything eventually gets easier with practice.,"Kun harjoittelee, niin kaikki muuttuu helpommaksi ajan myötä."
1726,I try not to eat too much junk food.,Yritän olla syömättä liikaa roskaruokaa.
1727,Is it a big problem?,Onko se iso ongelma?
1728,My men are prepared to die.,Mieheni ovat valmistautuneet kuolemaan.
1729,Maybe they have something.,Ehkä heillä on jotain.
1730,Tom stayed at a hotel.,Tom asui hotellissa.
1731,There is only one can of meat left.,Jäljellä on vain yksi lihasäilykepurkki.
1732,I feel ill at ease with her.,Minulla on epämukava olo hänen kanssaan.
1733,I'm just making sure.,Minä vain varmistan.
1734,Something terrible happened to Tom.,Tomille tapahtui jotain hirveää.
1735,Tom said that he felt embarrassed.,"Tommi sanoi, että häntä nolostutti."
1736,The actions of men are the best interpreters of their thoughts.,Ihmisen teot ovat paras tulkki hänen aatteilleen.
1737,I'm halfway through this crime novel.,Olen puolessa välissä tätä rikosromaania.
1738,Tom has a big family.,Tomilla on iso perhe.
1739,What does quixotic mean exactly?,Mitä quijotemainen tarkkaan ottaen tarkoittaa?
1740,A man of wealth has to pay a lot of income tax.,Rikkaan henkilön pitää maksaa paljon tuloveroja.
1741,I'm not good at French.,Minä en ole hyvä ranskassa.
1742,Tom is waiting to see what will happen.,"Tom odottaa näkevänsä, mitä tapahtuu."
1743,"Frankly, I'm not overly concerned.",Suoraan sanottuna en ole kovin huolissani.
1744,Remember.,Muistakaa.
1745,I've just come back.,Olen juuri tullut takaisin.
1746,That belonged to Tom.,Se kuului Tomille.
1747,Who knows?,Kuka tietää?
1748,Can you pick me up at the station?,Voitko tulla hakemaan minut asemalta?
1749,Tom must be more careful from now on.,Tomin täytyy olla huolellisempi tästedes.
1750,Tom's team suffered a crushing defeat.,Tomin joukkue kärsi murskatappion.
1751,You met friends.,Sinä tapasit ystäviä.
1752,I don't need it.,Minulla ei ole sille mitään käyttöä.
1753,"In Greek mythology, Hermes, the son of Zeus, is the messenger of the gods.","Kreikkalaisessa mytologiassa Hermes, Zeuksen poika, on jumalten sanansaattaja."
1754,Tom has done his best.,Tomi on tehnyt parhaansa.
1755,Something just occurred to me.,Jotain vain sattui minulle.
1756,The third power of 3 is 27.,Kolmen 3. potenssi on kaksikymmentäseitsemän.
1757,Tom had something else in mind.,Tomilla oli jotakin muuta mielessään.
1758,I like the Occitan language.,Pidän oksitaanin kielestä.
1759,He began to abase the man behind his back.,Hän alkoi nöyryyttää miestä tämän selän takana.
1760,This tree is dead and should be cut down.,Tämä puu on kuollut ja pitäisi kaataa.
1761,This video is boring.,Tämä video on tylsä.
1762,Tom looked sad and lonely.,Tomi näytti surulliselta ja yksinäiseltä.
1763,What a good idea!,Onpa hyvä idea!
1764,He has a deep feeling for the weak.,Hänellä on syviä tunteita heikkoja kohtaan.
1765,She is buying food.,Hän ostaa ruokaa.
1766,Would you like another cup of tea?,Haluaisitko toisen kupillisen teetä?
1767,"I have no doubt that it is a part of the destiny of the human race, in its gradual improvement, to leave off eating animals, as surely as the savage tribes have left off eating each other when they came in contact with the more civilized.","Olen varma, että ihmiskunnan kohtalona on asteittaisen kehittymisensä myötä hylätä eläinten syönti, aivan kuten raakalaisheimot lopettivat toistensa syömisen kohdattuaan sivistyneempää väkeä."
1768,Tom isn't mean.,Tom ei ole kelju.
1769,The teacher writes on the board.,Opettaja kirjoittaa taululle.
1770,I am married and have two children.,Olen aviossa ja minulla on kaksi lasta.
1771,I am Chinese.,Mä oon kiinalainen.
1772,"His name was on the tip of my tongue, but I couldn't remember it.","Minulla oli hänen nimensä kieleni päällä, mutta en saanut sitä mieleeni."
1773,There's Tom.,Tom on tuolla.
1774,Read this.,Lue tämä.
1775,Can I get you some tea?,Saako olla teetä?
1776,Give!,Antakaa!
1777,Tom encouraged our efforts.,Tom kannusti meitä ponnisteluissamme.
1778,I borrowed Tom's bicycle.,Lainasin Tomin polkupyörää.
1779,Did you do this?,Teitkö tämän?
1780,That photographer is really talented.,Tuo valokuvaaja on todella lahjakas.
1781,Tom lent me the money I needed.,Tomi lainasi minulle tarvitsemani rahan.
1782,May I ask what that means?,Sopiiko tiedustella mitä se tarkoittaa?
1783,He has not spoken to me yet.,Hän ei ole puhunut vielä minulle.
1784,She was unamused by the joke.,Vitsi ei naurattanut häntä.
1785,I think that's fair.,Minusta se on reilua.
1786,I like to eat Greek food.,Tykkään syödä kreikkalaista.
1787,I never got caught.,En koskaan joutunut kiinni.
1788,Bananas are a good source of potassium.,Banaanit ovat hyviä kaliumin lähteitä.
1789,Tom found Mary where he expected her to be.,Tom löysi Marin sieltä mistä olettikin hänen olevan.
1790,Tom lived there.,Tomi asui täällä.
1791,"They asked me for my name, my address, and the purpose of my trip.","He kysyivät nimeäni, osoitettani ja matkani tarkoitusta."
1792,Do you want me to call an ambulance?,"Haluuk sä, et mä soitan ambulanssin?"
1793,I wish I had a boyfriend like Tom.,Olisipa minulla sellainen poikaystävä kuin Tomi.
1794,What a pity!,Onpa harmillista!
1795,"There are few, if any, such men.","Sellaisia miehiä on harvassa, jos ollenkaan."
1796,I can't believe I let Tom do that.,"En voi uskoa, että annan Tomin tehdä tuota."
1797,Stay with us.,Pysykää luonamme.
1798,Tom seemed like such a nice guy.,Tom vaikutti niin mukavalta tyypiltä.
1799,I almost died.,Melkein kuolin.
1800,I want to sleep a little more.,Mä haluun nukkuu viel vähän.
1801,Why would that be?,Miksi se niin olisi?
1802,No. They are too small.,Ei. Ne ovat liian pienet.
1803,Tom will stay.,Tom kyllä jää.
1804,The milk turned sour.,Maito meni happamaksi.
1805,On what grounds were you fired?,Miksi sinut irtisanottiin?
1806,Those who live in glass houses should not throw stones.,Lasitalojen asukkaiden ei pidä heittää kiviä.
1807,There's an easier way to do it.,On helpompi tapa tehdä se.
1808,Are these your children?,Ovatko nämä sinun lapsiasi?
1809,He ran away at the sight of the policeman.,Hän juoksi karkuun nähdessään poliisin.
