,english,russian
1666,Ask him if he will attend the meeting.,"Спроси его, придет ли он на собрание?"
1667,It's a big job.,Это большая работа.
1668,History deals with the past.,История имеет дело с прошлым.
1669,I can do it now.,Я могу сделать это сейчас.
1670,We've got to try and stop them.,Мы должны попытаться их остановить.
1671,Tom and I bought that house on Park Street.,Мы с Томом купили тот дом на Парковой улице.
1672,Do you know where Tom got this?,"Ты знаешь, где Том это взял?"
1673,How long did you stay?,Сколько ты там пробыл?
1674,Don't congratulate me!,Не поздравляйте меня!
1675,I turn over a page of the book.,Я перевернул страницу книги.
1676,Water power turns the wheel.,Сила воды вращает колесо.
1677,Please pass me the butter.,"Передайте мне масло, пожалуйста."
1678,You're wet through.,Ты промок насквозь.
1679,I'll never work for Tom.,Я никогда не буду работать на Тома.
1680,Many lives were lost.,Много жизней оборвалось.
1681,I have to explain this to Tom.,Я должен объяснить это Тому.
1682,They're not here yet.,Их ещё нет.
1683,Are you upset?,Вы расстроены?
1684,They're very cheerful people.,Они очень весёлые люди.
1685,You and I have nothing to talk about.,Нам с вами не о чем говорить.
1686,Mary told me that she's cold.,"Мэри сказала мне, что ей холодно."
1687,Tom has been replaced by Mary.,Тома заменила Мэри.
1688,Did you know that Tom had relatives in Australia?,"Ты знал, что у Тома родственники в Австралии?"
1689,Monday comes after Sunday.,Понедельник следует за воскресеньем.
1690,"Your table is ready, sir.","Ваш столик готов, сэр."
1691,Tom only cares about appearance.,Тома волнует только внешнее.
